commodity,n_markets,mean_modal,std_modal,min_modal,max_modal,price_gap,price_gap_ratio,cv,norm_cv,norm_price_gap_ratio,integration_score,integration_rank,integration_level
Mousambi(Sweet Lime),114,4040.344827586207,1556.2147113705287,1750.0,10000.0,8250.0,2.0419049244687204,0.38516878577916985,0.1964783539602138,0.07615196862049502,0.7857741421500517,138,Moderately Integrated
Bottle gourd,386,1730.1866321243524,670.9691852235369,400.0,4200.0,3800.0,2.1962948559683966,0.3878016236894107,0.1978213902548131,0.08190987491573683,0.7814140571667052,139,Moderately Integrated
Peas Wet,24,10270.833333333334,4323.794545924022,4000.0,22000.0,18000.0,1.7525354969574036,0.42097796796014814,0.21474496701751863,0.06536005989864013,0.7811859019170118,140,Moderately Integrated
Water Melon,37,2255.4054054054054,943.0140643307105,400.0,4500.0,4100.0,1.8178550029958058,0.4181128865217051,0.21328346103424303,0.06779612286833833,0.7805916295642442,141,Moderately Integrated
Fish,8,20381.81818181818,9242.81539162372,4300.0,33000.0,28700.0,1.4081177520071366,0.4534833599815385,0.23132628449441275,0.05251514778177523,0.778912391249945,142,Moderately Integrated
Turmeric (raw),2,6075.0,3075.914498161482,3900.0,8250.0,4350.0,0.7160493827160493,0.5063233741829599,0.25828049105745937,0.026704754697383915,0.7782190521670671,143,Moderately Integrated
Fig(Anjura/Anjeer),4,11750.0,5678.908345800273,7000.0,20000.0,13000.0,1.1063829787234043,0.4833113485787467,0.24654183237342378,0.04126207879140905,0.7765157345231922,144,Moderately Integrated
Arecanut(Betelnut/Supari),9,31309.0,14062.783188259711,2600.0,52000.0,49400.0,1.5778210738126417,0.4491610459695203,0.22912142996378784,0.05884416040232565,0.7764182579720493,145,Moderately Integrated
Tinda,11,3240.909090909091,1483.3775955262001,1450.0,6200.0,4750.0,1.4656381486676016,0.4577041669225302,0.23347935927816577,0.054660346311361935,0.7763133110956639,146,Moderately Integrated
Mango,12,9255.0,4178.94397273674,1860.0,18000.0,16140.0,1.7439222042139384,0.4515336545366548,0.23033172073259836,0.06503883083902065,0.7719798777166439,147,Moderately Integrated
Rajgir,6,5352.666666666667,2643.204242329122,6.0,6715.0,6709.0,1.2533939469423339,0.4938107315348963,0.25189767001392493,0.04674478981508189,0.7700348871479766,148,Moderately Integrated
Ground Nut Seed,6,5192.5,2550.224990074405,125.0,7000.0,6875.0,1.3240250361097736,0.49113625230128166,0.25053339207416825,0.04937894600005203,0.7692826436907807,149,Moderately Integrated
