commodity,risk_index,spatial_volatility,integration_score,number_of_markets,fragmentation,cv,norm_risk_index,norm_fragmentation,norm_spatial_volatility,norm_number_of_markets,norm_inverted_integration,composite_risk,composite_rank,risk_category
Rose(Local),0.2441939561987752,5189.84,0.7662883143318068,27,1.93485342019544,0.4564357253573784,0.34836343089420435,0.07215952867066887,0.34357992186791425,0.045372050816696916,0.3505675285022899,0.24838723016652456,48,Moderately Stable
Cucumbar(Kheera),0.1701573515924724,1531.68,0.7037662555336371,291,3.7537735061824153,0.5507264888299317,0.24127914381011067,0.13999537335247159,0.10140090922391574,0.5245009074410163,0.44435061669954423,0.2467654515749675,49,Moderately Stable
Seetapal,0.3714537372335426,1730.25,0.7980600194343521,6,1.183431952662722,0.4095255969940421,0.5324280972717573,0.04413558723705565,0.11454672202070942,0.007259528130671506,0.3029099708484718,0.2398341188352709,50,Moderately Stable
Pear(Marasebu),0.2250862447759397,3376.23,0.698908688188559,18,2.715814032901737,0.6459726592450918,0.32072661980051,0.10128511985759758,0.2235145668475537,0.029038112522686024,0.45163696771716155,0.23689153568390595,51,Moderately Stable
Drumstick,0.1791271225232773,2556.13,0.7613844025115559,203,3.827153568557058,0.3345651810530477,0.2542527469425145,0.14273205131448674,0.16922196940256956,0.36479128856624315,0.3579233962326661,0.2359708690834142,52,Moderately Stable
Pumpkin,0.1372152408926782,738.29,0.7341139230019326,373,4.256621917133713,0.3988112501825068,0.1936326794957214,0.15874888922520125,0.048876578182730564,0.6733212341197822,0.3988291154971012,0.23470883252810626,53,Moderately Stable
Cluster beans,0.1293117682003975,1692.35,0.6876456499951874,187,5.291161399153379,0.5036284268618724,0.18220133761771432,0.19733159561243568,0.11203765063531142,0.33575317604355714,0.46853152500721895,0.23025587667092406,54,Moderately Stable
Mango,0.2412157909965905,4178.94,0.7719798777166439,12,1.7439222042139384,0.4515336545366548,0.34405590356781673,0.06503883083902065,0.27665590436134857,0.018148820326678763,0.3420301834250342,0.2279270691987929,55,Moderately Stable
Kabuli Chana(Chickpeas-White),0.2878751269328885,3565.11,0.8300880802271774,10,0.9800386468070156,0.3296179154246369,0.41154254414412367,0.03655012110710227,0.23601887827958468,0.01451905626134301,0.25486787965923396,0.219486156750949,56,Moderately Stable
Beetroot,0.1419022770133066,1625.98,0.721998287863409,192,4.262790301516097,0.4431710982956683,0.2004118656048607,0.1589789364758335,0.10764379660235984,0.3448275862068965,0.41700256820488646,0.2184301969723112,57,Moderately Stable
Snakeguard,0.1283137447958386,1143.91,0.7200113689172641,212,4.727866261189286,0.4166617330166269,0.1807578270010574,0.17632374497439482,0.07572960022349934,0.3811252268602541,0.41998294662410374,0.21456416906825673,58,Moderately Stable
Bottle gourd,0.1490734437512176,670.97,0.7814140571667052,386,2.196294855968397,0.3878016236894107,0.21078402248285172,0.08190987491573684,0.044419831859115966,0.6969147005444646,0.3278789142499422,0.21146994903755073,59,Moderately Stable
Field Pea,0.210208865130251,3500.0,0.7609032983363636,10,1.3333333333333333,0.5185185185185185,0.29920843158118754,0.04972609495374936,0.2317084392847756,0.01451905626134301,0.35864505249545464,0.20378440457020122,60,Moderately Stable
Peas cod,0.1850654917176342,4405.63,0.7888025984486766,8,1.353474320241692,0.425922180594386,0.26284182304887227,0.05047724442434981,0.2916633289617674,0.010889292196007259,0.3167961023269851,0.19841286838175107,61,Moderately Stable
Ajwan,0.3050482932043405,2456.11,0.8895723548346255,3,0.4199134199134199,0.2126506336071884,0.43638128812669796,0.01566049094322626,0.16260040423192293,0.0018148820326678765,0.16564146774806188,0.1923772983856766,62,Moderately Stable
Grapes,0.2156626912153329,3174.06,0.8260302161249832,37,1.3470611234197838,0.3143860701268512,0.3070966793109046,0.050238066998757346,0.2101304253703528,0.06352087114337568,0.2609546758125253,0.19220989410324765,63,Moderately Stable
Green Avare (W),0.1568150966611921,2010.74,0.7954190913218534,150,2.1431040442447284,0.3475188317697023,0.22198131316258318,0.07992614639990823,0.13311583634499133,0.2686025408348457,0.30687136301722007,0.18609005635381787,64,Moderately Stable
Karbuja(Musk Melon),0.1981180236138341,2179.71,0.762219762442131,12,1.6271186440677967,0.4925898657350723,0.28172060713384595,0.06068269214694838,0.14430205776954808,0.018148820326678763,0.35667035633680355,0.18386270221398893,65,Moderately Stable
Persimon(Japani Fal),0.3452379153257736,758.29,0.9123048807442972,5,0.4166666666666667,0.1579765717510739,0.4945103319414167,0.015539404673046677,0.050200626407214996,0.005444646098003629,0.13154267888355442,0.18255394247446322,66,Moderately Stable
Pegeon Pea (Arhar Fali),0.2440962811954435,2474.87,0.8289340241878532,2,0.5185185185185185,0.3666479606152468,0.3482221567480799,0.019337925815346973,0.1638423614664893,0.0,0.25659896371822033,0.1805594453292916,67,Moderately Stable
Beans,0.1395593291971864,1829.75,0.8038516351920674,148,2.678751195777926,0.2825034770365122,0.1970230973341031,0.0999028772390421,0.12113386193751947,0.26497277676951,0.294222547211899,0.1789400806562312,68,Moderately Stable
Ridgeguard(Tori),0.1283118291510734,1172.59,0.7929050623860611,230,2.2110838760582325,0.3503630552229562,0.18075505627088845,0.0824614250786819,0.07762828537741,0.4137931034482758,0.31064240642090846,0.17834320153438288,69,Moderately Stable
Leafy Vegetable,0.1364118674931038,1689.15,0.6962025120121659,10,2.399355877616747,0.680011951475867,0.1924707047102323,0.08948294864865526,0.11182580291939392,0.01451905626134301,0.45569623198175113,0.17228344958250927,70,Moderately Stable
Chili Red,0.2118712302830345,3860.92,0.891794574594801,6,0.581787521079258,0.1953245495523812,0.30161282584272703,0.021697516137070234,0.2556022135438217,0.007259528130671506,0.16230813810779854,0.17210084302508694,71,Moderately Stable
Spinach,0.1270081044197446,1243.91,0.7111327178937811,49,2.836819679417192,0.588911107947621,0.17886938857785165,0.1057979735590231,0.08234984134592149,0.08529945553539019,0.43330092315932844,0.17010536225973388,72,Moderately Stable
Raddish,0.1215265133789512,987.08,0.8067005821796741,253,1.7320696235661674,0.3431036325524547,0.17094098246291287,0.06459679392596712,0.06534707607120466,0.455535390199637,0.2899491267304889,0.1695468164641436,73,Moderately Stable
Mint(Pudina),0.119045754304034,1391.09,0.793697760671781,158,2.400092413434603,0.3340752089517863,0.16735288819012,0.0895104174361669,0.09209351222990242,0.2831215970961887,0.3094533589923286,0.16573233682052638,74,Moderately Stable
Guava,0.1533702797339554,1625.71,0.828362532178035,127,1.4901382090411748,0.2972435647672387,0.21699883501207984,0.05557406555774361,0.1076259219513293,0.22686025408348456,0.2574562017329475,0.1618228069516163,75,Moderately Stable
Rajgir,0.1466851967303847,2643.2,0.7700348871479766,6,1.253393946942334,0.4938107315348963,0.2073297348238411,0.0467447898150819,0.17498621334786252,0.007259528130671506,0.3449476692780352,0.16135046377526774,76,Moderately Stable
Mousambi(Sweet Lime),0.1212158183177153,1556.21,0.7857741421500517,114,2.0419049244687204,0.3851687857791698,0.17049160260129015,0.07615196862049502,0.1030248543712459,0.20326678765880218,0.32133878677492256,0.1593179405918786,77,Moderately Stable
Ground Nut Seed,0.1406551381939714,2550.22,0.7692826436907807,6,1.3240250361097736,0.4911362523012816,0.1986080420492889,0.04937894600005203,0.16883071315223439,0.007259528130671506,0.34607603446382906,0.15833064972788805,78,Moderately Stable
Green Gram Dal (Moong Dal),0.1738731641068695,2432.51,0.8485566277771538,29,1.2212330538214324,0.2605838638445326,0.24665358171360816,0.04554536309623639,0.1610380273270313,0.04900181488203267,0.22716505833426937,0.15656496099189146,79,Moderately Stable
Chilly Capsicum,0.1751352508736639,1361.97,0.7908057414222384,8,1.50093808630394,0.4088457660579588,0.24847902552453274,0.05597684234943644,0.0901656980150531,0.010889292196007259,0.3137913878666426,0.15472869524732666,80,Moderately Stable
Papaya,0.1122843538694985,870.56,0.8300449878538467,208,1.831357837021739,0.2674998288635569,0.15757340479710827,0.06829970527352704,0.05763317111535835,0.37386569872958253,0.25493251821923,0.15150002958642866,81,Moderately Stable
Tamarind Fruit,0.1494224093892797,2742.96,0.8462728484776013,30,1.2165189441901236,0.2671629826394124,0.2112887557396973,0.04536955239887476,0.1815905658915909,0.050816696914700546,0.2305907272835982,0.15071740678395584,82,Moderately Stable
