market,state,avg_price_spread_ratio,avg_composite_risk,n_commodities,market_instability_index,market_rank
Thara,Gujarat,0.04535142245095227,0.08598027561129512,6,0.061602963715089415,1044
Bodeliu,Gujarat,0.0273448088912984,0.1127630213826817,2,0.06151209388785172,1045
Kadi,Gujarat,0.053089284515041676,0.07363573794073433,5,0.06130786588531874,1046
Bichhiya,Madhya Pradesh,0.052510822510822494,0.07394200031790185,5,0.06108329363365424,1047
Katni,Madhya Pradesh,0.010499916244134933,0.13539627731281254,4,0.06045846067160598,1048
Madathukulam,Tamil Nadu,0.0440528634361233,0.08496534601510954,1,0.0604178564677178,1049
Baikunthpur,Madhya Pradesh,0.0192307692307692,0.12109335102231997,1,0.05997580194738951,1050
Dehgam(Rekhiyal),Gujarat,0.03838398414740256,0.09222399987175547,5,0.05991999043714372,1051
Dudu,Rajasthan,0.04977231934846185,0.07485373911836204,9,0.059804887256421926,1052
Shyampur,Madhya Pradesh,0.0448007545390238,0.08045462228468535,1,0.05906230163728843,1053
Gotegaon,Madhya Pradesh,0.0384615384615384,0.08966296970980346,1,0.058942110960844424,1054
Kalagategi,Karnataka,0.03452541610436345,0.09510457999560176,2,0.05875708166085878,1055
Nizar(Kukarmuda),Gujarat,0.0546697038724373,0.06199553018812952,1,0.057600034398714195,1056
Karera,Madhya Pradesh,0.0140570089808668,0.12109335102231997,1,0.05687154579744807,1057
Naugaon,Madhya Pradesh,0.032684925439244,0.09105019503928291,2,0.05603103327925957,1058
Gangapurcity(Old Lal mandi),Rajasthan,0.03149435273675065,0.09154444060522474,2,0.05551438788414029,1059
Malpur,Gujarat,0.011049723756906,0.12109335102231997,1,0.055067174663071594,1060
Muzzafarnagar,Uttar Pradesh,0.044895875248216435,0.06978539904586657,13,0.05485168476727649,1061
Mehsana(Jornang),Gujarat,0.0344695972624374,0.08420326223039339,2,0.0543630632496198,1062
Kasrawad,Madhya Pradesh,0.011883532346101476,0.11692818620250084,3,0.05390139388866122,1063
Mow,Madhya Pradesh,0.0078431372549019,0.12109335102231997,1,0.05314322276186913,1064
Madhogarh,Uttar Pradesh,0.0076628352490421,0.12109335102231997,1,0.05303504155835325,1065
Bijawar,Madhya Pradesh,0.0275438596491228,0.09105019503928291,2,0.05294639380518685,1066
Sadulpur,Rajasthan,0.0465116279069767,0.06199553018812952,1,0.05270518881943783,1067
Nanakmatta,Uttrakhand,0.0303030303030303,0.08496534601510954,1,0.052167956587862,1068
Roha,Maharashtra,0.0302346570397111,0.08496534601510954,1,0.052126932629870476,1069
Hoshangabad,Madhya Pradesh,0.0042951971885982,0.12109335102231997,1,0.05101445872208691,1070
Jaithari,Madhya Pradesh,0.0039840637450199,0.12109335102231997,1,0.05082777865593993,1071
Amarpatan,Madhya Pradesh,0.0038461538461538,0.12109335102231997,1,0.05074503271662027,1072
Mehgaon,Madhya Pradesh,0.003831417624521,0.12109335102231997,1,0.05073619098364059,1073
Umariya,Madhya Pradesh,0.036373626373626365,0.070838349929212,5,0.050159515795860615,1074
Vijapur(Gojjariya),Gujarat,0.027027027027027,0.08420326223039339,2,0.04989752110837356,1075
Prithvipur,Madhya Pradesh,0.0019047619047619,0.12109335102231997,1,0.04958019755178513,1076
