,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
127,White Pumpkin,3,1127.6666666666667,700.0,1383.0,372.6879838864319,683.0,0.6056754360035471,128
128,Cotton,52,6631.481481481482,4000.0,8000.0,851.6188300678104,4000.0,0.6031834683049427,129
129,Chili Red,6,19766.666666666668,13500.0,25000.0,3860.9152628187358,11500.0,0.581787521079258,130
130,Turmeric,5,11883.714285714286,8000.0,14420.0,1950.4936737730197,6420.0,0.5402351357199529,131
131,Firewood,3,353.3333333333333,230.0,415.0,106.80979980008077,185.0,0.5235849056603774,132
132,Pegeon Pea (Arhar Fali),2,6750.0,5000.0,8500.0,2474.8737341529163,3500.0,0.5185185185185185,133
133,Copra,5,11753.833333333334,7923.0,14000.0,2285.534547248557,6077.0,0.5170228152517619,134
134,Kinnow,3,2000.0,1500.0,2500.0,500.0,1000.0,0.5,135
135,Paddy(Dhan)(Basmati),25,2479.96,1780.0,3000.0,266.78650640540263,1220.0,0.49194341844223294,136
136,Sunflower,5,4849.0,3420.0,5725.0,987.1701980914943,2305.0,0.4753557434522582,137
137,Ragi (Finger Millet),6,3832.1666666666665,3000.0,4750.0,691.3072881625557,1750.0,0.456660722828687,138
138,buttery,3,5500.0,4500.0,7000.0,1322.8756555322952,2500.0,0.45454545454545453,139
139,Long Melon(Kakri),2,4100.0,3200.0,5000.0,1272.7922061357856,1800.0,0.43902439024390244,140
140,Ajwan,3,11550.0,8900.0,13750.0,2456.114818163027,4850.0,0.4199134199134199,141
141,Soyabean,103,4295.156521739131,3300.0,5100.0,343.6236617290437,1800.0,0.4190766950842506,142
142,Persimon(Japani Fal),5,4800.0,4000.0,6000.0,758.287544405155,2000.0,0.4166666666666667,143
143,Mustard,109,5898.137614678899,4500.0,6852.0,375.46567303495385,2352.0,0.398769942930205,144
144,Masur Dal,25,8895.8,7700.0,11000.0,903.7994799732959,3300.0,0.3709615773735921,145
145,Arhar Dal(Tur Dal),52,15150.961538461539,11500.0,17000.0,768.1630995506827,5500.0,0.36301326394618266,146
146,Mataki,2,8279.5,6809.0,9750.0,2079.6010434696364,2941.0,0.3552146868772269,147
147,Wood,6,513.3333333333334,420.0,600.0,66.23191577077222,180.0,0.3506493506493506,148
148,Suva (Dill Seed),6,7566.25,6500.0,9102.5,966.8192049188926,2602.5,0.3439616718982323,149
149,Coconut Seed,8,3812.5,3100.0,4400.0,418.96982503005415,1300.0,0.34098360655737703,150
150,Kulthi(Horse Gram),7,6386.285714285715,4854.0,7000.0,747.361963684201,2146.0,0.3360325697924123,151
